date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:56:07	47551/47551	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2001:52:44%20GMT	https://ipsusa.net/wp-content/plugins/contact-form-7-multi-step-pro/assets/frontend/css/progress_bar.css?ver=2.5.4	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/contact-form-7-multi-step-pro/assets/frontend/css/progress_bar21bb.css	(from https://ipsusa.net/)
07:56:08	58129/58129	---M--	200	added ('OK')	text/css	date:Wed,%2009%20Sep%202020%2001:52:44%20GMT	https://ipsusa.net/wp-content/plugins/contact-form-7-multi-step-pro/assets/frontend/animate/animate.min.css?ver=2.5.4	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/contact-form-7-multi-step-pro/assets/frontend/animate/animate.min21bb.css	(from https://ipsusa.net/)
07:56:08	2731/2731	---M--	200	added ('OK')	text/css	date:Mon,%2013%20Jun%202022%2011:51:45%20GMT	https://ipsusa.net/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.5.6.1	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/contact-form-7/includes/css/styles04dd.css	(from https://ipsusa.net/)
07:56:08	153427/153427	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:00%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/bootstrap.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/bootstrap.minadc6.css	(from https://ipsusa.net/)
07:56:08	2116/2116	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:00%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/flaticon.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/flaticonadc6.css	(from https://ipsusa.net/)
07:56:08	58113/58113	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:32:59%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/animate.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/animate.minadc6.css	(from https://ipsusa.net/)
07:56:09	4200/4200	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:01%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/owl.carousel.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/owl.carousel.minadc6.css	(from https://ipsusa.net/)
07:56:09	61777/61777	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:00%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/boxicons.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/boxicons.minadc6.css	(from https://ipsusa.net/)
07:56:09	2309/2309	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:01%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/meanmenu.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/meanmenu.minadc6.css	(from https://ipsusa.net/)
07:56:09	3196/3196	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:01%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/nice-select.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/nice-select.minadc6.css	(from https://ipsusa.net/)
07:56:10	12795/12795	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:00%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/fancybox.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/fancybox.minadc6.css	(from https://ipsusa.net/)
07:56:10	3152/3152	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:01%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/odometer.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/odometer.minadc6.css	(from https://ipsusa.net/)
07:56:10	5388/5388	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:00%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/magnific-popup.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/magnific-popup.minadc6.css	(from https://ipsusa.net/)
07:56:11	197956/197956	---M--	200	added ('OK')	text/css	date:Thu,%2027%20May%202021%2013:32:40%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/style.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/styleadc6.css	(from https://ipsusa.net/)
07:56:11	49868/49868	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Feb%202021%2008:33:01%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/responsive.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/responsiveadc6.css	(from https://ipsusa.net/)
07:56:11	1650/1650	---M--	200	added ('OK')	text/css	date:Thu,%2025%20Mar%202021%2006:30:44%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/website-creator-styles.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/website-creator-stylesadc6.css	(from https://ipsusa.net/)
07:56:11	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%225eb03e5f-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.minadc6.css	(from https://ipsusa.net/)
07:56:11	52535/52535	---M--	200	added ('OK')	text/css	date:Tue,%2012%20Oct%202021%2013:23:20%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/css/ips.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/css/ipsadc6.css	(from https://ipsusa.net/)
07:56:12	4073/4073	---M--	200	added ('OK')	text/css	date:Thu,%2002%20Jun%202022%2008:47:27%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/style.css?ver=6.5.5	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/styleadc6.css	(from https://ipsusa.net/)
07:56:12	6282/6282	---M--	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2007:52:40%20GMT	https://ipsusa.net/wp-content/plugins/newsletter/style.css?ver=7.4.2	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/newsletter/style9733.css	(from https://ipsusa.net/)
07:56:12	9501/9501	---M--	200	added ('OK')	text/css	date:Wed,%2015%20Dec%202021%2009:51:09%20GMT	https://ipsusa.net/wp-content/plugins/aurora-heatmap/style.css?ver=1.5.3	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/aurora-heatmap/stylee225.css	(from https://ipsusa.net/)
07:56:13	17536/17536	---M--	200	added ('OK')	text/css	date:Mon,%2016%20Oct%202023%2014:28:16%20GMT	http://ipsusa.net/wp-content/uploads/pum/pum-site-styles.css?generated=1697466496&ver=1.16.2	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/pum/pum-site-stylese46c.css	(from https://ipsusa.net/)
07:56:13	87553/87553	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Dec%202023%2014:24:59%20GMT	https://ipsusa.net/wp-includes/js/jquery/jquery.min.js?ver=3.7.1	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-includes/js/jquery/jquery.minf43b.js	(from https://ipsusa.net/)
07:56:14	13577/13577	---M--	200	added ('OK')	application/javascript	date:Thu,%2007%20Dec%202023%2014:24:59%20GMT	https://ipsusa.net/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-includes/js/jquery/jquery-migrate.min5589.js	(from https://ipsusa.net/)
07:56:14	38942/38942	---M--	200	added ('OK')	application/javascript	date:Wed,%2004%20Aug%202021%2014:08:58%20GMT	https://ipsusa.net/wp-content/plugins/popup-maker/assets/js/vendor/mobile-detect.min.js?ver=1.3.3	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/popup-maker/assets/js/vendor/mobile-detect.min3ba1.js	(from https://ipsusa.net/)
07:56:14	9638/9638	---M--	200	added ('OK')	application/javascript	date:Wed,%2015%20Dec%202021%2009:51:09%20GMT	https://ipsusa.net/wp-content/plugins/aurora-heatmap/js/reporter.js?ver=1.5.3	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/plugins/aurora-heatmap/js/reportere225.js	(from https://ipsusa.net/)
07:56:15	5303/5303	---MC-	200	added ('OK')	application/json	date:Tue,%2002%20Jul%202024%2014:57:03%20GMT	https://ipsusa.net/wp-json/wp/v2/pages/2	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-json/wp/v2/pages/2.json	(from https://ipsusa.net/)
07:56:16	192169/192169	---MC-	200	added ('OK')	application/json	date:Tue,%2002%20Jul%202024%2014:57:02%20GMT	https://ipsusa.net/wp-json/	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-json/index.html	(from https://ipsusa.net/)
07:56:16	774/774	---MC-	200	added ('OK')	text/xml	date:Tue,%2002%20Jul%202024%2014:57:04%20GMT	https://ipsusa.net/xmlrpc.php?rsd	C:/My%20Web%20Sites/techverse/ipsusa.net/xmlrpc0db0.php	(from https://ipsusa.net/)
07:56:17	2549/2549	---MC-	200	added ('OK')	application/json	date:Tue,%2002%20Jul%202024%2014:57:04%20GMT	https://ipsusa.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fipsusa.net%2F	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-json/oembed/1.0/embedc07e.json	(from https://ipsusa.net/)
07:56:17	2750/2750	---MC-	200	added ('OK')	text/xml	date:Tue,%2002%20Jul%202024%2014:57:05%20GMT	https://ipsusa.net/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fipsusa.net%2F&format=xml	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-json/oembed/1.0/embeddfd3	(from https://ipsusa.net/)
07:56:17	473/473	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2024%20Mar%202021%2014:47:32%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/down-arrow.svg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/down-arrow.svg	(from https://ipsusa.net/)
07:56:18	3867/3867	---M--	200	added ('OK')	image/png	date:Fri,%2018%20Feb%202022%2009:35:14%20GMT	https://www.ipsusa.net/wp-content/uploads/2022/02/usa-new-logo.png	C:/My%20Web%20Sites/techverse/www.ipsusa.net/wp-content/uploads/2022/02/usa-new-logo.png	(from https://ipsusa.net/)
07:56:19	72735/72735	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Apr%202021%2009:47:08%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/svgexport-1.svg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/svgexport-1.svg	(from https://ipsusa.net/)
07:56:19	110396/110396	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:06%20GMT	https://ipsusa.net/services/creative-ui-ux/	C:/My%20Web%20Sites/techverse/ipsusa.net/services/creative-ui-ux/index.html	(from https://ipsusa.net/)
07:56:21	270169/270169	---M--	200	added ('OK')	image/png	date:Wed,%2014%20Apr%202021%2009:15:53%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/img-webdevelopment.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/img-webdevelopment.png	(from https://ipsusa.net/)
07:56:21	118445/118445	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:07%20GMT	https://ipsusa.net/services/development/	C:/My%20Web%20Sites/techverse/ipsusa.net/services/development/index.html	(from https://ipsusa.net/)
07:56:21	110095/110095	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:08%20GMT	https://ipsusa.net/services/digital-marketing/	C:/My%20Web%20Sites/techverse/ipsusa.net/services/digital-marketing/index.html	(from https://ipsusa.net/)
07:56:21	105134/105134	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:08%20GMT	https://ipsusa.net/services/customer-support/	C:/My%20Web%20Sites/techverse/ipsusa.net/services/customer-support/index.html	(from https://ipsusa.net/)
07:56:22	93915/93915	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Apr%202021%2009:47:27%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/svgexport-3.svg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/svgexport-3.svg	(from https://ipsusa.net/)
07:56:22	94961/94961	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:10%20GMT	https://ipsusa.net/careers/	C:/My%20Web%20Sites/techverse/ipsusa.net/careers/index.html	(from https://ipsusa.net/)
07:56:22	102484/102484	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:10%20GMT	https://ipsusa.net/blog/	C:/My%20Web%20Sites/techverse/ipsusa.net/blog/index.html	(from https://ipsusa.net/)
07:56:23	92761/92761	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:10%20GMT	https://ipsusa.net/about-us/	C:/My%20Web%20Sites/techverse/ipsusa.net/about-us/index.html	(from https://ipsusa.net/)
07:56:23	180743/180743	---M--	200	added ('OK')	image/svg+xml	date:Wed,%2014%20Apr%202021%2009:47:37%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/svgexport-4.svg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/svgexport-4.svg	(from https://ipsusa.net/)
07:56:23	86185/86185	---MC-	200	added ('OK')	text/html	date:Tue,%2002%20Jul%202024%2014:57:10%20GMT	https://ipsusa.net/contact-us/	C:/My%20Web%20Sites/techverse/ipsusa.net/contact-us/index.html	(from https://ipsusa.net/)
07:56:23	459/459	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:50%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape2.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape2.png	(from https://ipsusa.net/)
07:56:23	1071/1071	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:50%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape3.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape3.png	(from https://ipsusa.net/)
07:56:23	1482/1482	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:50%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape4.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape4.png	(from https://ipsusa.net/)
07:56:24	442/442	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:50%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape5.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape5.png	(from https://ipsusa.net/)
07:56:24	231/231	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:50%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape6.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape6.png	(from https://ipsusa.net/)
07:56:24	474/474	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:51%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape7.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape7.png	(from https://ipsusa.net/)
07:56:24	687/687	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:51%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape8.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape8.png	(from https://ipsusa.net/)
07:56:25	474/474	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:49%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape13.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape13.png	(from https://ipsusa.net/)
07:56:25	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jul%202024%2014:57:13%20GMT	http://ipsusa.net/services/creative-ux/	C:/My%20Web%20Sites/techverse/ipsusa.net/services/creative-ux/index.html	(from https://ipsusa.net/)
07:56:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jul%202024%2014:57:13%20GMT	http://ipsusa.net/services/development-services/	C:/My%20Web%20Sites/techverse/ipsusa.net/services/development-services/index.html	(from https://ipsusa.net/)
07:56:26	111585/111585	---M--	200	added ('OK')	image/jpeg	date:Wed,%2014%20Apr%202021%2011:10:35%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/about-img1.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/about-img1.jpg	(from https://ipsusa.net/)
07:56:26	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jul%202024%2014:57:13%20GMT	https://ipsusa.net/chrome-extension://ddafdejlekcmnafgnbllcfkebabhabcl/html/tpc.html	C:/My%20Web%20Sites/techverse/ipsusa.net/chrome-extension_/ddafdejlekcmnafgnbllcfkebabhabcl/html/tpc.html	(from https://ipsusa.net/)
07:56:27	77157/77157	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jul%202024%2014:57:14%20GMT	https://ipsusa.net/chrome-extension:/ddafdejlekcmnafgnbllcfkebabhabcl/html/tpc.html	C:/My%20Web%20Sites/techverse/ipsusa.net/chrome-extension_/ddafdejlekcmnafgnbllcfkebabhabcl/html/tpc.html	(from https://ipsusa.net/)
07:56:28	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jul%202024%2014:57:15%20GMT	https://ipsusa.net/chrome-extension://ddafdejlekcmnafgnbllcfkebabhabcl/images/zshare.png	C:/My%20Web%20Sites/techverse/ipsusa.net/chrome-extension_/ddafdejlekcmnafgnbllcfkebabhabcl/images/zshare.png	(from https://ipsusa.net/)
07:56:29	77167/77167	---MC-	404	error ('Not%20Found')	text/html	date:Tue,%2002%20Jul%202024%2014:57:16%20GMT	https://ipsusa.net/chrome-extension:/ddafdejlekcmnafgnbllcfkebabhabcl/images/zshare.png	C:/My%20Web%20Sites/techverse/ipsusa.net/chrome-extension_/ddafdejlekcmnafgnbllcfkebabhabcl/images/zshare.png	(from https://ipsusa.net/)
07:56:30	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2002%20Jul%202024%2014:57:17%20GMT	http://ipsusa.net/about-us	C:/My%20Web%20Sites/techverse/ipsusa.net/about-us	(from https://ipsusa.net/)
07:56:30	7070/7070	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:50%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape15.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape15.png	(from https://ipsusa.net/)
07:56:31	41235/41235	---M--	200	added ('OK')	image/png	date:Thu,%2015%20Apr%202021%2009:20:07%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/project-start1.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/project-start1.png	(from https://ipsusa.net/)
07:56:31	832500/832500	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Oct%202021%2012:44:52%20GMT	https://ipsusa.net/wp-content/uploads/2021/10/invest.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/10/invest.png	(from https://ipsusa.net/)
07:56:32	25031/25031	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2008:33:10%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img1.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img1.jpg	(from https://ipsusa.net/)
07:56:32	8049/8049	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2008:33:10%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img2.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img2.jpg	(from https://ipsusa.net/)
07:56:32	7037/7037	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2008:33:10%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img3.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img3.jpg	(from https://ipsusa.net/)
07:56:32	7852/7852	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2008:33:11%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img4.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/feedback-img4.jpg	(from https://ipsusa.net/)
07:56:32	28106/28106	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Apr%202021%2009:39:28%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/user1.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/user1.jpg	(from https://ipsusa.net/)
07:56:33	20339/20339	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Apr%202021%2009:40:01%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/user2.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/user2.jpg	(from https://ipsusa.net/)
07:56:33	14147/14147	---M--	200	added ('OK')	image/jpeg	date:Thu,%2015%20Apr%202021%2009:40:32%20GMT	https://ipsusa.net/wp-content/uploads/2021/04/user3.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/uploads/2021/04/user3.jpg	(from https://ipsusa.net/)
07:56:33	10087/10087	---M--	200	added ('OK')	image/png	date:Thu,%2025%20Feb%202021%2008:33:50%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape16.png	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/shape/shape16.png	(from https://ipsusa.net/)
07:56:34	80725/80725	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2008:33:44%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/portfolio/portfolio-img1.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/portfolio/portfolio-img1.jpg	(from https://ipsusa.net/)
07:56:34	66149/66149	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2008:33:44%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/portfolio/portfolio-img2.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/portfolio/portfolio-img2.jpg	(from https://ipsusa.net/)
07:56:34	90325/90325	---M--	200	added ('OK')	image/jpeg	date:Thu,%2025%20Feb%202021%2008:33:44%20GMT	https://ipsusa.net/wp-content/themes/ipsusa/assets/img/portfolio/portfolio-img3.jpg	C:/My%20Web%20Sites/techverse/ipsusa.net/wp-content/themes/ipsusa/assets/img/portfolio/portfolio-img3.jpg	(from https://ipsusa.net/)
